Date,city,value,location,item_id
2010-02-14,Sydney-Oceania,25.0,Oceania,Sydney
2010-02-14,Cape Town-Africa,21.657142857142855,Africa,Cape Town
2010-02-14,Calgary-America,-0.2428571428571428,America,Calgary
2010-02-14,Madrid-Europe,3.7714285714285714,Europe,Madrid
2010-02-14,Bogota-America,14.228571428571428,America,Bogota
2010-02-14,Los Angeles-America,17.8,America,Los Angeles
2010-02-14,Shanghai-Asia,5.942857142857143,Asia,Shanghai
2010-02-14,Bahamas-America,20.271428571428572,America,Bahamas
2010-02-14,Singapore-Asia,28.914285714285715,Asia,Singapore
2010-02-14,Busan-Asia,5.371428571428572,Asia,Busan
2010-02-14,Qingdao-Asia,-1.9714285714285713,Asia,Qingdao
2010-02-14,Yakarta-Asia,27.928571428571427,Asia,Yakarta
2010-02-14,Beijing-Asia,-2.0142857142857142,Asia,Beijing
2010-02-14,Kuala-Asia,28.8,Asia,Kuala
2010-02-14,Delhi-Asia,17.142857142857142,Asia,Delhi
2010-02-14,Dubai-Asia,20.057142857142857,Asia,Dubai
2010-02-14,Miami-America,21.428571428571427,America,Miami
2010-02-14,New york-America,2.542857142857143,America,New york
2010-02-14,New orleans-America,11.828571428571427,America,New orleans
2010-02-14,Tokyo-Asia,6.0,Asia,Tokyo
2010-02-21,Hamburg-Europe,-0.7714285714285715,Europe,Hamburg
2010-02-21,Calgary-America,0.4571428571428572,America,Calgary
2010-02-21,Vancouver-America,5.971428571428571,America,Vancouver
2010-02-21,Sao Paulo-America,25.314285714285713,America,Sao Paulo
2010-02-21,Washington-America,5.642857142857143,America,Washington
2010-02-21,Paris-Europe,3.0714285714285716,Europe,Paris
2010-02-21,Bogota-America,14.299999999999999,America,Bogota
2010-02-21,Roma-Europe,9.328571428571427,Europe,Roma
2010-02-21,Reykjavic-Europe,-1.657142857142857,Europe,Reykjavic
2010-02-21,Dublin-Europe,1.2,Europe,Dublin
2010-02-21,Sydney-Oceania,23.971428571428568,Oceania,Sydney
2010-02-21,Cape Town-Africa,21.47142857142857,Africa,Cape Town
2010-02-21,Madrid-Europe,5.028571428571429,Europe,Madrid
2010-02-21,Los Angeles-America,20.185714285714287,America,Los Angeles
2010-02-21,Shanghai-Asia,5.085714285714286,Asia,Shanghai
2010-02-21,New orleans-America,14.442857142857141,America,New orleans
2010-02-21,Bahamas-America,18.942857142857143,America,Bahamas
2010-02-21,Singapore-Asia,28.885714285714283,Asia,Singapore
2010-02-21,Busan-Asia,4.414285714285714,Asia,Busan
2010-02-21,Kuala-Asia,28.2,Asia,Kuala
2010-02-21,Yakarta-Asia,28.114285714285717,Asia,Yakarta
2010-02-21,Qingdao-Asia,1.5,Asia,Qingdao
2010-02-21,Tokyo-Asia,4.914285714285714,Asia,Tokyo
2010-02-21,Delhi-Asia,16.485714285714288,Asia,Delhi
2010-02-21,Dubai-Asia,23.24285714285714,Asia,Dubai
2010-02-21,Miami-America,21.414285714285715,America,Miami
2010-02-21,New york-America,4.428571428571429,America,New york
2010-02-21,Beijing-Asia,-0.5142857142857142,Asia,Beijing
2010-02-28,Hamburg-Europe,3.1999999999999997,Europe,Hamburg
2010-02-28,Calgary-America,4.6000000000000005,America,Calgary
2010-02-28,Vancouver-America,7.242857142857143,America,Vancouver
2010-02-28,Sao Paulo-America,22.914285714285715,America,Sao Paulo
2010-02-28,Washington-America,6.885714285714286,America,Washington
2010-02-28,Paris-Europe,9.157142857142857,Europe,Paris
2010-02-28,Cape Town-Africa,23.557142857142857,Africa,Cape Town
2010-02-28,Roma-Europe,12.228571428571428,Europe,Roma
2010-02-28,Reykjavic-Europe,-3.1,Europe,Reykjavic
2010-02-28,Dublin-Europe,2.0714285714285716,Europe,Dublin
2010-02-28,Sydney-Oceania,23.614285714285717,Oceania,Sydney
2010-02-28,Bogota-America,14.142857142857142,America,Bogota
2010-02-28,Madrid-Europe,9.785714285714286,Europe,Madrid
2010-02-28,Los Angeles-America,18.485714285714288,America,Los Angeles
2010-02-28,Shanghai-Asia,11.971428571428572,Asia,Shanghai
2010-02-28,New orleans-America,15.314285714285715,America,New orleans
2010-02-28,Singapore-Asia,29.442857142857143,Asia,Singapore
2010-02-28,Busan-Asia,11.042857142857143,Asia,Busan
2010-02-28,Qingdao-Asia,4.642857142857143,Asia,Qingdao
2010-02-28,Kuala-Asia,28.714285714285715,Asia,Kuala
2010-02-28,Yakarta-Asia,28.88571428571429,Asia,Yakarta
2010-02-28,Bahamas-America,20.95714285714286,America,Bahamas
2010-02-28,Tokyo-Asia,10.985714285714286,Asia,Tokyo
2010-02-28,Delhi-Asia,21.599999999999998,Asia,Delhi
2010-02-28,Dubai-Asia,25.599999999999998,Asia,Dubai
2010-02-28,Miami-America,23.014285714285712,America,Miami
2010-02-28,New york-America,3.971428571428571,America,New york
2010-02-28,Beijing-Asia,2.0142857142857142,Asia,Beijing
2010-03-07,Calgary-America,8.614285714285716,America,Calgary
2010-03-07,Vancouver-America,7.614285714285714,America,Vancouver
2010-03-07,Sao Paulo-America,19.785714285714285,America,Sao Paulo
2010-03-07,Washington-America,9.842857142857143,America,Washington
2010-03-07,Hamburg-Europe,-0.2285714285714285,Europe,Hamburg
2010-03-07,Roma-Europe,9.328571428571427,Europe,Roma
2010-03-07,Madrid-Europe,8.042857142857143,Europe,Madrid
2010-03-07,Reykjavic-Europe,2.085714285714286,Europe,Reykjavic
2010-03-07,Dublin-Europe,2.7142857142857144,Europe,Dublin
2010-03-07,Sydney-Oceania,22.37142857142857,Oceania,Sydney
2010-03-07,Bogota-America,14.5,America,Bogota
2010-03-07,Paris-Europe,4.685714285714285,Europe,Paris
2010-03-07,Cape Town-Africa,23.02857142857143,Africa,Cape Town
2010-03-07,Los Angeles-America,16.985714285714288,America,Los Angeles
2010-03-07,New orleans-America,15.571428571428571,America,New orleans
2010-03-07,Bahamas-America,19.442857142857143,America,Bahamas
2010-03-07,Shanghai-Asia,6.3428571428571425,Asia,Shanghai
2010-03-07,Singapore-Asia,29.5,Asia,Singapore
2010-03-07,Busan-Asia,7.414285714285714,Asia,Busan
2010-03-07,Kuala-Asia,28.47142857142857,Asia,Kuala
2010-03-07,Yakarta-Asia,28.942857142857143,Asia,Yakarta
2010-03-07,Qingdao-Asia,0.8,Asia,Qingdao
2010-03-07,Tokyo-Asia,8.457142857142857,Asia,Tokyo
2010-03-07,Delhi-Asia,23.75714285714286,Asia,Delhi
2010-03-07,Dubai-Asia,21.74285714285714,Asia,Dubai
2010-03-07,Miami-America,21.414285714285715,America,Miami
2010-03-07,New york-America,9.9,America,New york
2010-03-07,Beijing-Asia,0.1714285714285714,Asia,Beijing
2010-03-14,Hamburg-Europe,0.5857142857142856,Europe,Hamburg
2010-03-14,Calgary-America,8.75,America,Calgary
2010-03-14,Vancouver-America,5.271428571428571,America,Vancouver
2010-03-14,Sao Paulo-America,25.457142857142856,America,Sao Paulo
2010-03-14,Washington-America,15.4,America,Washington
2010-03-14,Paris-Europe,3.471428571428571,Europe,Paris
