Item,Location,Date,target,p5,p20,p40,p50,p60,p80,p95,mape,mase,rmsle,smape
Washington,America,2022-03-27,15.414285714285713,7.192766835862948,11.110847748537177,13.631653033174116,17.56489560155279,21.60843004122534,23.584554790768493,24.459412687727887,40.179837955590166,1.0803826305043212,0.36663908866338857,28.51920246492198
Hamburg,Europe,2022-03-27,8.657142857142857,1.7244010800283405,5.134122867953756,7.765781862358631,8.50618886342814,9.05733808606342,10.69246925245459,14.13642699416176,68.15929219851172,1.024783561993345,,42.47185550239024
Paris,Europe,2022-03-27,13.657142857142857,5.210211621676228,5.4643657565356385,9.633081448595753,11.272456624037822,13.40306098132345,15.510534901068752,16.946888513698177,42.23038549966915,1.253369996985593,0.3770497974366254,35.43976280807558
Madrid,Europe,2022-03-27,10.057142857142859,6.425991590407011,8.483105722439499,11.361456219955514,13.122463515979625,13.348673380145415,14.75089774279182,18.01479032905012,32.01063276231957,1.1197478053414622,0.29330226356895167,27.992620932060632
Roma,Europe,2022-03-27,11.185714285714287,8.848226022533234,11.390552546575359,12.597102680863054,13.087542225589818,17.143388779324773,20.93493566218153,23.35929374344916,27.597308556915962,1.304127681267342,0.2565216969957479,22.86418132649586
Reykjavic,Europe,2022-03-27,4.5285714285714285,-0.7750013101563382,1.8434108986007196,3.3928596054378892,3.8731958866303327,4.9242048199695185,7.188514355472306,9.165547085608441,857.6414326856662,1.3607683011229434,,103.26017317353427
Dublin,Europe,2022-03-27,8.77142857142857,4.260888662049239,6.931321625770002,7.521745393840912,7.957817518253653,8.593455318994172,12.33451867014101,19.331607739412345,24.462432725627256,0.9109513258482699,0.25785989036074697,23.259694527968534
Sydney,Oceania,2022-03-27,20.62857142857143,14.643137138868438,17.380986973491854,18.896996788288174,19.911358241708065,20.870915821229463,22.170475494680677,24.56455070954973,5.117583465772755,0.7253386799373702,0.060257491412952335,5.128948621412729
Cape Town,Africa,2022-03-27,20.457142857142856,12.638207465182434,15.865770681996786,18.19364055700442,18.582709933851575,18.961233516857295,20.98304797629545,22.533275925792424,8.637974429898826,1.4832168501152034,0.10085089288566611,9.098222627908731
Shanghai,Asia,2022-04-03,11.77142857142857,9.184149519429505,12.81125104872702,13.613102039596642,17.03273428190824,18.206534414259234,23.88987004441972,26.328855955443256,75.35847329476847,2.43002263039625,0.5483844142130639,46.99217514244242
Singapore,Asia,2022-04-03,27.67142857142857,26.103662635362888,27.266852330894064,27.62885837938871,27.951162848886938,28.085226047430552,28.470658635052832,29.11603299563812,1.1858726718695123,0.5698445499774697,0.01662224629502008,1.1728316343385745
Busan,Asia,2022-04-03,11.171428571428573,4.5256259587616565,9.78503964728748,11.051140259798338,11.951252813063746,12.880983322626854,14.941016466565516,25.75500186565578,35.60095669328137,0.8072864993586911,0.30551534884452125,26.055356120144925
Qingdao,Asia,2022-04-03,8.828571428571427,3.3548410918041505,4.377615835425672,7.365311630331432,9.836025714121853,15.382142266482328,24.712778709674293,35.04581790552489,214.8609801086058,1.1222692628880397,,67.65254221632125
Kuala,Asia,2022-04-03,28.814285714285713,26.38468486416124,26.7200645998204,27.961163667155912,28.065152770649558,28.240169058992578,28.698500895562653,28.908566329324213,1.7460181553516914,0.8698285230897196,0.020641928638329,1.7474303285649573
Yakarta,Asia,2022-04-03,29.057142857142857,27.491662958547774,27.99848991670438,28.34364213262012,28.83690358861874,29.08918857213418,29.371430886317054,29.869149537679135,1.391910825601984,0.8002997811950672,0.01613080754431414,1.3891097937662336
Beijing,Asia,2022-04-03,10.457142857142857,1.7378613610944322,7.04544465636692,9.484432037014365,9.786784252437446,10.123108418911285,22.54157389462812,46.64906913804487,81.74649590098761,1.3593447272380648,,101.77909236902718
Tokyo,Asia,2022-04-03,10.814285714285715,9.210117897124416,12.061468928067471,12.786292164760944,14.958155112759489,15.053090513118331,16.902001412248268,18.454833726223615,25.387014496186485,0.8909685122250378,0.24185671146554377,20.496497281687475
Delhi,Asia,2022-04-03,28.657142857142855,13.557270170843863,18.656139251282724,23.23344530080306,23.738560493001284,25.20677382782524,27.97769053432898,34.883297471870584,23.26096217586634,2.5698146662254806,0.22823246975787925,21.236782902386643
Dubai,Asia,2022-04-03,25.042857142857144,22.792035402940943,24.068151471805432,27.357898857777887,27.424312963287605,28.115108727177915,31.845621806808122,35.27620510372287,7.5293847177816575,1.3865952522388703,0.07954709406093058,7.317826188738473
Miami,America,2022-04-03,29.67142857142857,25.369020700285155,27.09964726655428,29.14380551210439,29.396045981383914,29.586702317891152,31.35171923596266,33.65235171903849,4.512262318632158,0.9655757857924542,0.05404807702241978,4.401935944098071
New york,America,2022-04-03,8.414285714285715,5.283777091655085,12.023966604583487,13.319353657878501,13.647792461849793,14.24664922709945,16.53709949229271,23.11435753957304,74.33138834909853,1.0296735465548907,0.4469162777763521,34.840311794892294
New orleans,America,2022-04-03,25.542857142857144,19.038751405508517,22.143156940430814,23.865766845100367,25.118230943514867,27.763747805780046,27.920983395972097,35.164582757794925,11.43760824922676,0.9844143784610764,0.13910524584613976,10.946423012787783
Bahamas,America,2022-04-03,24.728571428571428,22.69700597875867,24.278244469338038,25.05143856107718,25.281236299024556,25.72437419576636,28.54138219488899,30.615778349482056,4.20467402059399,1.106172531122266,0.04949795210664056,4.109560516448052
Los Angeles,America,2022-04-03,17.685714285714287,15.521316270824737,19.02300080523465,19.726446649135173,19.734543754517556,21.196705858004066,23.921201858394603,26.87090951356025,11.193579965857525,1.0421352910756794,0.13923752595157624,11.59415026497907
Bogota,America,2022-04-03,14.442857142857141,12.89955054813245,13.12519821488539,13.686136325119046,13.915683137000368,14.105391974243119,14.31224264772807,14.763469235164203,3.488861254244086,1.1580225150197774,0.04063339461129306,3.525315284067706
Calgary,America,2022-04-03,9.728571428571428,-12.368837645854466,1.9913669425944187,5.753417047635883,11.199719086696945,11.35493066814469,13.567700098168777,15.361012333176808,1506.3588876777087,1.4921452044937202,,119.24187591200909
Vancouver,America,2022-04-03,8.357142857142858,3.121389993627762,6.841871997751901,8.430135571604195,9.612023985351373,10.223416452711911,13.305012897102346,17.740837471719278,101.09254773344405,1.478771441531541,,47.88879883580766
