Item,Location,Date,target,p5,p20,p40,p50,p60,p80,p95,mape,mase,rmsle,smape
Los Angeles,America,2021-11-21,20.62857142857143,17.71913210813091,20.023893146662502,21.59733980747799,22.41117824265683,23.348492954138866,26.03477231690243,27.113434435060267,14.575918962063092,1.318425759649006,0.16759789935475927,14.754205873542285
Bogota,America,2021-11-21,13.957142857142857,12.77105601060115,13.248151674555247,13.57537275735754,13.6767316003303,13.824131993323718,14.021953961585336,14.747541172113339,3.401059507902166,1.1225716945136925,0.04030240936691964,3.4166150114854057
Calgary,America,2021-11-21,4.8999999999999995,-7.956572992820854,-0.49776876226070216,5.437103681088329,6.272647805086837,6.748031663944203,9.843692677407123,13.311880154986268,752.0324112790653,1.4082757882738581,,136.42106334792788
Vancouver,America,2021-11-21,5.25,2.554483317002888,4.676133301462132,6.489212060778833,6.851491221694106,7.703578558416108,8.414015978257845,10.669820105397456,76.41580122970164,1.2711880519957053,,48.04085882565204
Sao Paulo,America,2021-11-21,19.5,18.27927448354343,20.419789820757842,21.2935878900826,21.896146632367206,22.3582075757739,24.037307587723326,25.656147177256884,7.553239123519003,0.8319832196013056,0.08233272437297331,7.195832108169557
Washington,America,2021-11-21,13.799999999999999,7.293247173357048,11.349492679768654,13.18164728567178,14.027343631573492,14.632215344231808,16.963111664230258,19.265727960339493,26.557000682452784,0.9153126239039832,0.29009012358802366,25.193058285304314
Hamburg,Europe,2021-11-21,8.028571428571428,1.2478983777179782,3.6614720925893134,5.451098766834774,6.318801733141208,6.69956717370553,7.949612358513208,11.877765570916772,53.70767520243774,1.0728249583367115,,60.755600729504046
Paris,Europe,2021-11-21,8.042857142857143,5.392331509874396,7.833727748971181,8.774948803408726,9.704036101909097,10.842237871402133,12.506577397127954,13.564860308802684,24.687397796179688,0.8569113087799208,0.27296619070565464,25.010983695181594
Madrid,Europe,2021-11-21,9.157142857142857,7.026370258178229,9.052646377787564,9.710967791766441,10.113503180182102,11.400676584531341,12.213252115140513,13.801302376055546,24.351594511053733,0.8690358658835695,0.26646630674675975,25.63248018607851
Roma,Europe,2021-11-21,12.971428571428572,6.843623100103063,9.813487916276726,11.514833144547714,11.854279271332377,12.613287579028656,14.139835734917172,17.05676128123799,16.149379754095026,0.8203353510874968,0.18159202809200461,16.70335026636282
Reykjavic,Europe,2021-11-21,1.9857142857142858,-1.6042463814371466,0.12850603745647934,2.5586890800088806,2.9898599043011607,3.3996473991901643,5.0439574652525865,6.915071341362825,442.2065024482715,1.001141909315675,,121.7589459336927
Dublin,Europe,2021-11-21,9.200000000000001,4.849389466622822,6.288902762648461,7.564753239334513,7.994498731379794,8.57256305906167,10.214245512627588,11.695828717742716,24.26106226205357,0.9552800921992789,0.2686462754474814,24.777942182312216
Sydney,Oceania,2021-11-21,18.385714285714283,18.271296740126928,19.325901095179127,20.458775089066652,21.270892156241956,21.389515176616626,22.80038001779048,24.07892854631639,5.966343322265474,0.8077342220843439,0.07322780116562984,5.660242196345622
Cape Town,Africa,2021-11-21,18.771428571428572,16.394820843440296,18.0352967869091,19.220073622217352,19.494739929563515,19.628352630967342,20.445681701971385,21.147821306550924,4.423068178195725,0.6897760293236335,0.05696939684992002,4.2525388773934
