Item,Location,Date,target,p5,p20,p40,p50,p60,p80,p95,mape,mase,rmsle,smape
Bahamas,America,2021-11-21,25.685714285714287,22.58827082148162,23.68140518069074,24.62903190719378,25.082186310912675,25.274000889137778,26.278348662304452,26.849590700011664,3.9644463743418727,1.0434563615594608,0.04628916300377811,3.9529467527717266
Los Angeles,America,2021-11-21,20.62857142857143,17.25503806438939,18.668045174607204,20.007360611818623,20.71794533140774,21.601347028581845,23.00247545693123,26.797339151781806,11.786006747085814,1.0635584976888586,0.14165409486530445,11.814002313616056
Bogota,America,2021-11-21,13.957142857142857,12.96174246571963,13.2216389643288,13.502733104926753,13.82297648041336,13.946470088023347,14.245040216662535,14.694210515795719,3.488349948555816,1.1578249573239963,0.04078100886128943,3.5298519331422287
Calgary,America,2021-11-21,4.8999999999999995,-8.182658232478767,-2.4370333099630614,2.948523851596423,3.7924031207395745,5.038219529001057,12.321286096732711,16.66446191668214,347.27278658956067,1.3058370254478604,,122.20198704972312
Vancouver,America,2021-11-21,5.25,3.524386283956625,4.850578283300301,6.564869405630913,7.713307063915394,7.855283680564623,8.853451889090799,11.952058149038118,67.09925106185591,1.2061549683980555,,46.11159846110661
Sao Paulo,America,2021-11-21,19.5,17.712597154565202,18.229093860160845,18.919221930474478,19.996307072608325,21.174109610008493,22.212449204014778,24.682529156172095,4.614420152836493,0.5203615391427722,0.05023259349841705,4.57628611193924
Washington,America,2021-11-21,13.799999999999999,8.857312475327207,10.291970930342272,13.274352775390945,14.606762613703173,15.82160337287088,18.17134853712313,26.655863889092497,27.112679867863243,0.9143273762225196,0.31395919546657186,25.959018101128077
Hamburg,Europe,2021-11-21,8.028571428571428,2.1599689238981568,3.9297593524882486,6.01664243918446,6.740370601618986,7.264058957905759,8.743604607417035,12.90429331526076,52.832347623242704,1.0798821703612407,,70.60716844583852
Paris,Europe,2021-11-21,8.042857142857143,5.147860729298756,7.149674930146859,8.853089441381087,9.715711586997053,11.280614198312168,12.889312769971252,14.937123788942971,24.023000922689956,0.8203434833105702,0.26689936901913247,24.842581526662297
Madrid,Europe,2021-11-21,9.157142857142857,5.907194043257396,6.914877400210196,9.107735228738914,10.159858749502487,10.712353656534464,13.557133694309227,20.478125631214898,25.05409837219223,0.9272737484593003,0.35590741099567846,28.451739389114678
Roma,Europe,2021-11-21,12.971428571428572,8.901150754955657,10.850082023165632,12.745262561087307,13.849538329190743,14.549856359406489,15.428937956286624,17.53806475811731,19.913234546062565,0.9665131764556031,0.19889394911795455,18.556292844366563
Reykjavic,Europe,2021-11-21,1.9857142857142858,-1.8819904710462458,1.1887127752149538,2.2937193974786845,3.4392125486040808,3.9907692719221504,5.054245460151777,6.860498332635893,481.102626920823,1.04197239469021,,123.25762555126376
Dublin,Europe,2021-11-21,9.200000000000001,3.5593573494054365,5.902808788588301,6.860707858636138,8.139108580243064,8.860132401102728,10.755410584562235,12.142546661214645,23.535541655284398,0.9150055821096861,0.2899812667429678,24.34317948648872
Sydney,Oceania,2021-11-21,18.385714285714283,18.15647010577374,18.514088238654807,19.72932369265157,19.925372691774633,21.397155786119303,22.248011266954514,24.508277621891196,4.767949733130265,0.6751910187781723,0.0529783605901907,4.770297929517986
Cape Town,Africa,2021-11-21,18.771428571428572,15.170698895024637,17.46871361121704,18.494234203205153,19.19092377379411,19.723830288597664,20.807964909057873,21.140060264996738,4.809733792684798,0.7732117352636116,0.05553447602154656,4.731150197195514
